location,bhk,total_sqft,,balcony
Rajaji Nagar,2,1027,,2
Uttarahalli,2,1194,,2
Motappa Layout,3,1650,,3
Friends Colony,3,1580,,1
Whitefield,2,1243,,2
Doddabidrakallu,2,1194,,2
Dasanapura,4,2805,,3
Hoodi,3,1520,,2
Bhoganhalli,3,1510,,2
Arehalli,2,1056,,1
Kudlu,3,1810,,2
Gottigere,2,1243,,2
Whitefield,1,575,,1
Malleshpalya,2,1194,,2
Tala Cauvery Layout,2,1243,,2
Mallasandra,2,1194,,2
Marathahalli,2,1140,,2
Sri Balaji Krupa Layout,3,1850,,2
Begur Road,2,1194,,2
Varthur,2,1194,,2
Yelahanka,2,1243,,1
Sadashiva Nagar,3,1710,,2
Kammasandra,3,1730,,1
7th Phase JP Nagar,2,1243,,2
Tumkur Road,2,1243,,2
Sonnenahalli,2,1243,,2
Haralur Road,3,1817,,2
Tumkur Road,2,1225,,1
Sarjapur  Road,2,1285,,1
Hosa Road,2,1225,,1
8th block Koramangala,2,1225,,1
Subramanyapura,2,1200,,2
Green Glen Layout,2,1315,,1
Vidyaranyapura,3,1976,,2
Haralur Road,2,1300,,2
Bidadi,2,1309,,1
Nagavara,2,1027,,2
Nallurhalli,2,1243,,2
Kannamangala,2,1243,,2
Teachers Colony,2,1140,,2
Belathur,2,1300,,1
Hoodi,2,1243,,2
Billekahalli,3,1890,,2
Marathahalli,2,1230,,1
Kanakpura Road,2,1194,,2
Banashankari,2,1092,,2
7th Phase JP Nagar,3,1735,,2
Kalena Agrahara,3,1810,,2
9th Phase JP Nagar,2,1200,,2
Electronic City Phase II,2,1243,,2
Arekere,3,1810,,2
Kanakpura Road,2,2400,,1
Bannerghatta Road,2,1311,,2
Sampige Layout,2,1174,,1
Hebbal,2,1197,,1
Amruthnagar,3,1757,,2
Bisuvanahalli,2,1174,,1
Sathya Sai Layout,3,1754,,2
Virgonagar,2,1290,,1
Kaggadasapura,3,1752.12,,2
Dodsworth Layout,3,1754,,2
Hosur Road,2,1152,,2
Kanakpura Road,2,1290,,1
Raja Rajeshwari Nagar,3,1749,,2
Malleshwaram,3,1758,,2
"Kudlu Village, ",2,1197,,1
Sarjapur  Road,2,1174,,1
Sarjapur,2,1197,,1
Ramagondanahalli,2,1174,,1
Budigere,3,1620,,1
Dodda Nekkundi,3,1762,,2
Battarahalli,3,1756,,2
Nagarbhavi,3,1755,,2
Hoodi,3,1864,,1
Bannerghatta Road,2,1331,,1
Thigalarapalya,3,1756,,2
Varthur Road,3,1749,,2
KR Puram,2,1197,,1
Rajiv Gandhi Nagar,2,1303,,1
Anekal,3,1754,,2
Singasandra,2,1174,,1
Kengeri,2,1197,,1
Thanisandra,2,1290,,1
Kaggadasapura,2,1386,,2
Marathahalli,2,1174,,1
Koramangala,2,1174,,1
Malleshwaram,3,1755,,2
5th Phase JP Nagar,2,1197,,1
Tumkur Road,3,1752.12,,2
Sarjapur,4,2569,,3
Munnekollal,2,1197,,1
Kurubarahalli,2,1197,,1
Kodigehaali,3,1755,,2
Kaval Byrasandra,2,1197,,1
Benson Town,4,2990,,1
Hormavu,2,1370,,2
Whitefield,2,1335,,0
Hosakerehalli,1,500,,1
Bidadi,1,450,,1
Sanjay nagar,3,1760,,2
Sector 4 HSR Layout,4,5611.5,,0
Bhagyalakshmi Avenue,2,1349,,1
Ardendale,4,2483,,2
Uttarahalli,3,1760,,2
Basavangudi,3,1920,,2
Whitefield,2,1337,,1
Kaggadasapura,2,1349,,1
Cholanayakanahalli,3,1790,,2
Electronic City,4,2790,,3
Harlur,4,2483,,2
Kothanur,2,812,,2
Ambedkar Nagar,4,2790,,3
Chikka Tirupathi,4,3067,,2
Doddakannelli,4,3067,,3
Bommasandra Industrial Area,2,823,,1
Kengeri Hobli,2,1420,,1
Chamrajpet,2,1420,,1
Doddaballapur,4,4235,,2
Thanisandra,3,1700,,2
Dairy Circle,2,1420,,1
KR Puram,2,1440,,1
Thigalarapalya,3,2400,,1
Horamavu Agara,2,1420,,2
Bharathi Nagar,2,1320,,1
Varthur,2,919,,1
Marathahalli,3,1645,,2
Munnekollal,3,2080,,3
Kengeri,4,2483,,2
7th Phase JP Nagar,3,2600,,2
Devanahalli,3,1645,,2
Arekere,2,1251,,1
Ardendale,3,1645,,2
Sarjapur  Road,3,1760,,2
Raja Rajeshwari Nagar,4,2790,,3
Begur Road,3,1645,,2
Whitefield,3,1255,,1
Kengeri,3,1645,,2
Hebbal,3,1636,,1
Rayasandra,3,1255,,1
Neeladri Nagar,4,2790,,3
Ambedkar Nagar,3,1255,,1
Sarakki Nagar,2,1088,,2
Abbaiah Reddy Layout,2,1349,,1
Ramagondanahalli,2,1344,,1
Nagarbhavi,3,1255,,1
Raja Rajeshwari Nagar,4,2790,,3
Dinnur,2,1088,,2
Raja Rajeshwari Nagar,3,1987,,2
Frazer Town,4,2790,,3
Rajiv Nagar,2,1299,,1
KR Puram,3,1645,,2
Kengeri Satellite Town,2,1390,,2
Hennur,2,1333,,1
JP Nagar,3,2650,,3
Chandapura,3,1800,,2
Yelahanka,4,2470,,2
Sarjapur  Road,3,1255,,1
Rustam Bagh Layout,2,1333,,1
Vasantha Vallabha Nagar,3,1645,,2
Vyalikaval,3,2600,,2
8th Phase JP Nagar,2,1345,,1
KR Puram,2,985,,2
Harlur,2,1320,,1
Bellandur,3,2388,,1
Sarjapur  Road,2,1040,,1
Rachenahalli,3,2600,,2
Pai Layout,4,2630,,0
Vittasandra,4,2790,,3
"Sarjapur Road, ",2,1420,,1
Hennur,2,1162,,1
Margondanahalli,2,1100,,1
"Banaswadi, ",4,4235,,3
BTM 2nd Stage,2,1299,,1
Sompura,4,2470,,2
Malleshwaram,3,1645,,2
Balagere,3,1920,,2
Giri Nagar,3,1920,,2
8th Phase JP Nagar,4,2375,,2
Chinnapanahalli,2,1420,,1
Rachenahalli,2,1252,,1
Anand Nagar,4,2790,,3
Akshaya Nagar,2,1294,,1
Chikka Tirupathi,3,1740,,1
Whitefield,3,1662,,2
Thanisandra,2,1349,,1
Kanakapura,2,1349,,1
Sarjapur  Road,3,1700,,2
Kadugodi,3,1800,,2
Balaji Gardens Layout,3,2900,,1.584375738
Thavarekere,3,3522,,2
Marathahalli,5,2280,,1.584375738
Jalahalli,2,1200,,1
Chandapura,3,2900,,1.584375738
Hebbal,2,1300,,2
Abbigere,3,1466,,3
KR Puram,3,1725,,1
Budigere,3,1200,,1.584375738
TC Palaya,3,3408,,3
Gubbalala,2,1485,,3
HAL 2nd Stage,2,1400,,2
Begur Road,3,1800,,3
 Devarabeesana Halli,5,2400,,2
Banashankari Stage VI,5,2800,,1
5th Phase JP Nagar,3,1785,,0
Singasandra,4,3729,,2
Sahakara Nagar,3,1600,,3
Kanakpura Road,3,1730,,2
Banashankari Stage VI,3,1569,,1
Bommanahalli,6,3000,,2
Kaggadasapura,3,2026,,2
Hulimavu,3,1801,,2
7th Phase JP Nagar,2,1050,,1.584375738
Thanisandra,2,1341,,1
Kaggadasapura,3,2112.95,,2
Jigani,3,1703,,2
Rachenahalli,3,1570,,1
Margondanahalli,3,1801,,2
HSR Layout,3,1584.01,,1
1st Block HRBR Layout,3,1965,,2
Ardendale,2,1200,,0
Malleshwaram,3,1847,,2
BTM 2nd Stage,3,1965,,2
6th Phase JP Nagar,3,1703,,2
Hulimavu,3,1847,,2
Byrasandra,3,2144.6,,2
 Rachenahalli,3,1718,,2
Kanakpura Road,3,1847,,2
Whitefield,2,1340,,2
Mysore Road,3,2087.01,,2
Rachenahalli,3,1703,,2
Old Madras Road,3,2087.01,,2
Kalyan nagar,3,1718,,2
Bannerghatta Road,3,1884,,2
Electronic City,3,1930,,2
Bikasipura,3,1584.01,,1
Tippenahalli,3,1168,,1
Sarjapur  Road,3,2162.03,,2
9th Phase JP Nagar,3,2087.01,,2
Whitefield,2,1000,,0
Devanahalli,3,1348,,2
Babusapalaya,1,1200,,0
Ramamurthy Nagar,1,1200,,0
Kasavanhalli,2,1075,,1
KR Puram,2,1255,,1
Whitefield,2,1225,,1
Chikkalasandra,2,1255,,1
Sarjapur  Road,2,1259,,2
Jalahalli East,2,1255,,2
Yelahanka,2,1285,,1
Prestige Sunrise,2,1285,,1
Akshaya Vana,2,1100,,1
Hebbal,2,1255,,1
Vidyaranyapura,2,1040,,2
Hebbal,2,1255,,1
Marathahalli,2,1255,,1
Old Airport Road,2,1231,,2
Uttarahalli,5,2500,,2
Sarjapur  Road,2,1160,,1
Electronic City,3,2400,,1.584375738
Doddathoguru,2,1255,,2
Vittasandra,2,1255,,2
Bhoganhalli,2,1100,,1
Jakkur,2,1255,,1
Kadugodi,2,960,,1
1st Stage Indira Nagar,2,1020,,1
Srigandada Kaval,2,1255,,1
Bannerghatta Road,2,1295,,1
Whitefield,3,1935,,2
Channasandra Layout,3,1345,,1
Haralur Road,2,1255,,1
Jigani,2,1420,,1
Begur Road,2,1155,,2
Mathikere Extension,2,1255,,1
Kasavanhalli,2,1255,,2
Mysore Road,2,1255,,2
Vijayanagar,3,1830.5,,0
Viswajit Layout,2,1255,,1
Garudachar Palya,2,1255,,1
Neeladri Nagar,2,1255,,2
OMBR Layout,2,1050,,2
Bommanahalli,2,1295,,1
Adityanagar,2,1100,,1
Koramangala,2,1200,,3
BDS Layout,3,1945,,3
Whitefield,3,1490,,1
Sarjapur  Road,3,1464,,2
Sarjapur  Road,2,1441,,1
Hebbal,3,1945,,2
Hennur Road,3,2089,,2
Kanakpura Road,8,5000,,1.584375738
 Mysore Highway,2,1385,,1
Yeshwanthpur,2,1317.5,,0
TC Palaya,3,2264,,1
Ambalipura,2,1157,,1
HBR Layout,3,1904,,2
Binny Pete,3,1891,,1
Basavangudi,3,1561,,2
Koramangala,3,2060,,1
Old Madras Road,3,1482,,1
Devanahalli,2,1232,,2
BTM 2nd Stage,2,1065,,1
Singasandra,3,1482,,1
Electronics City Phase 1,3,1891,,1
Gottigere,3,1703,,1.584375738
Narayana Nagar 1st Block,2,1232,,0
Nehru Nagar,2,987,,1
Raja Rajeshwari Nagar,3,2160,,2
Gopalkrishna Nagar,3,1680,,1.584375738
BTM 2nd Stage,2,1065,,1
Raja Rajeshwari Nagar,2,1385,,1
Vidyaranyapura,3,2350,,2
Thubarahalli,3,1586,,3
Banashankari Stage V,3,1975,,3
Shanthi Layout,3,1290,,1
Jeevan bima nagar,2,901,,1
Esther Enclave Layout,3,1445,,1
Kothannur,3,1482,,3
Raja Rajeshwari Nagar,2,1182,,2
Volagerekallahalli,2,1036,,1
Keerthi Layout,3,1891,,1
Ganga Nagar Extension,2,1232,,1
9th Phase JP Nagar,3,2320,,2
Tindlu,3,1936,,1
5th Phase JP Nagar,2,1480,,2
Haralur Road,3,1590,,2
Kereguddadahalli,3,1445,,1
Shikaripalya,2,1036,,1
7th Phase JP Nagar,3,1832,,1
Sahakara Nagar,2,1359,,2
Kanakpura Road,2,1341,,1
Huttanahalli,2,1040,,2
Mahadevpura,2,1414,,1.584375738
Raja Rajeshwari Nagar,3,1949,,1
Thanisandra,2,1232,,2
Kengeri,3,1250,,1
Varthur,4,2502,,2
Gunjur Palya,3,1831,,1
Nagarbhavi,2,1232,,1
Sarjapur,2,1232,,1
Jakkur,2,1232,,1
Kumaraswami Layout,2,1341,,1
Abbigere,2,1232,,1
Kanakpura Road,3,2365,,2
Ambedkar Colony,2,1310,,1
Vijayanagar,2,1015,,2
Reliable Woods Layout,3,2264,,2
4th T block Jayanagar,3,2002,,2
Bommenahalli,2,1232,,1
Jayanagar,2,1195,,2
Marsur,2,1020,,3
Dodda Nekkundi,5,5100,,3
1st Phase JP Nagar,2,1061,,1
Hoskote,2,1020,,0
Thanisandra,3,2041,,3
Bellandur,2,1232,,1
Binny Pete,2,1066,,1
Kaggalipura,2,973,,1
Mysore Road,2,1255,,1
Poorna Pragna Layout,2,1232,,1
Hennur Road,3,1832,,1
LB Shastri Nagar,3,2050,,1.584375738
Hoskote,3,1445,,2
Hebbal,3,1445,,1
Tindlu,3,1654,,1.584375738
Nayandanahalli,3,1480,,1.584375738
Vibhutipura Extension,3,1450,,1
Sunkadakatte,2,1155,,1
Yelachenahalli,2,1053,,1
Basavangudi,2,1195,,2
Sultan Palaya,3,1904,,2
Doddathoguru,3,1981,,1
Yeshwanthpur,2,1155,,1
Dodda Nekkundi,3,1590,,2
Ulsoor,3,2041,,3
Chandra Layout,3,1100,,1
Domlur,4,1880,,0
Haralur Road,2,1232,,1
Chandra Layout,3,1748,,1.584375738
Abbigere,2,1460,,1
Whitefield,3,1933,,2
Anandapura,2,1030,,1
Kudlu Gate,2,1232,,1
Hagadur,3,1445,,1
Popular Colony,2,973,,1
Vajarahalli,3,1305,,1
Electronic City,2,1165,,1
Jakkur,2,980,,1
8th block Koramangala,2,1232,,1
Banashankari,2,1085,,1
Sarakki Nagar,2,950,,1
Sanjay nagar,2,1140,,2
Hosa Road,3,1891,,1
Soundarya Layout,2,1165,,1
"Banashankari 6th Stage ,Subramanyapura",2,1450,,2
Whitefield,2,1155,,1
Banaswadi,3,1936,,1
Rajaji Nagar,2,1800,,1
Hebbal,3,1200,,0
Somasundara Palya,2,700,,0
Bisuvanahalli,2,900,,2
7th Phase JP Nagar,3,1330,,2
Thigalarapalya,2,1062,,1
Uttarahalli,2,869,,1
Hennur Road,3,1240,,1
Ulsoor,3,1435,,3
Yelahanka New Town,2,1140,,2
Electronic City Phase II,3,1715,,2
Kudlu,2,1150,,2
Parappana Agrahara,2,1065,,1
Yelahanka,2,1065,,2
Abbigere,2,985,,2
Samethanahalli,2,1425,,2
Whitefield,2,1420,,2
Ardendale,3,1639,,2
Bellandur,3,1639,,1
Amarjyothi Colony,2,1026,,1
Electronic City,2,1050,,2
Pattanagere,2,1400,,1
Cunningham Road,5,2400,,2
Kasavanhalli,2,1196,,0
8th Phase JP Nagar,2,1500,,1
Banashankari,2,1055,,1
Dollars Layout,3,1925,,3
Frazer Town,2,1400,,1
Horamavu Banaswadi,1,706,,1
Varthur,2,1257,,1
Yelahanka,2,1132,,0
Kanakpura Road,3,1925,,3
RMV Extension,2,1257,,1
Koramangala,2,1305,,1
Whitefield,2,1240,,3
Ramamurthy Nagar,2,1108,,1
Mallasandra,2,1257,,1
Whitefield,2,1000,,2
Chandapura,2,1063,,1
Sarjapur  Road,2,1259,,2
7th Phase JP Nagar,1,711,,0
Frazer Town,1,863,,0
Electronic City,3,1715,,2
Basaveshwara Nagar Yelahanka,2,1447,,2
Parappana Agrahara,3,2144,,2
Whitefield,2,1108,,0
Hebbal,3,1837,,1
Kurubarahalli,4,3385,,1
Rachenahalli,2,1181,,2
Vijayanagar,3,1490,,0
Thanisandra,2,1258.5,,0
Bileshivale,3,1629,,2
Kaval Byrasandra,2,1243,,1
Kanakpura Road,2,1234,,1
Raja Rajeshwari Nagar,1,813,,1
Electronic City,2,1160,,2
Electronics City Phase 1,2,1200,,1
Banashankari,3,1560,,2
Hebbal,2,982,,1
Frazer Town,3,1650,,1
ISRO Layout,2,950,,3
Electronic City,2,1106,,1
Akshaya Nagar,2,1079,,2
Hennur,2,1060,,1
Akshaya Nagar,2,1107.83,,1
Ambedkar Nagar,2,980,,1
Raja Rajeshwari Nagar,2,1145,,1
Whitefield,2,1000,,1
Raja Rajeshwari Nagar,2,760,,2
Chikkabettahalli,2,1150,,1
Thanisandra,1,625,,1
Ambedkar Nagar,2,1080,,1
Whitefield,2,994,,1
Ashirvad Colony,2,1107.83,,1
Yelahanka,2,1090,,1
Nagavarapalya,3,1400,,3
Jakkur,3,1557,,1
Babusapalaya,2,1058,,2
Bhuvaneswari Nagar,2,1156,,2
Varanasi,2,1180,,2
Hongasandra,2,1307,,2
Hebbal,2,1357,,2
Hulimavu,2,925,,3
Kalkere,2,1272,,2
Sultan Palaya,2,1225,,2
Vijayanagar,2,1272,,2
Shantiniketan Layout,2,1272,,2
Kanakpura Road,2,1156,,2
Kaggadasapura,2,1200,,1
Seegehalli,2,1254,,2
Kanakapura,3,1610,,3
Gopal Reddy Layout,2,1210,,1
Roopena Agrahara,2,1357,,2
Ambalipura,2,1272,,2
Hennur Road,2,1200,,1
Kothannur,2,1025,,2
Haralur Road,2,1081,,1
NGR Layout,2,1000,,2
Padmanabhanagar,2,1500,,1
Kasavanhalli,2,1150,,2
Ramagondanahalli,2,1180,,2
Kambipura,2,1200,,0
Pai Layout,2,1200,,0
Rajaji Nagar,2,1175,,1
Hegde Nagar,1,1351,,1
NRI Layout,2,1141,,1
Varthur,2,1130,,1
Jigani,3,1725,,2
sankeswari,2,1153,,1
Brookefield,2,1150,,1
Yelahanka,2,1123,,1
Panathur,3,1385,,2
Malleshpalya,2,1030,,1
Kodihalli,2,1018,,1
T c palya,3,1555,,2
Govindraja Nagar,2,1143,,1
Rajaji Nagar,2,1100,,3
Ramamurthy Nagar,2,1000,,2
Sarjapura - Attibele Road,2,1200,,2
Thanisandra,2,1200,,3
Uttarahalli,2,765,,1
Vijayanagar,2,1081.5,,0
Jakkur,2,1250,,2
Chandapura,2,965,,2
Battarahalli,1,583,,0
Marathahalli,2,1129,,1
Virat Nagar,3,1385,,1
Chennammanakere Achukattu,2,1065,,1
Devanahalli Road,2,1046,,1
Ulsoor,2,1400,,0
Bommanahalli,3,1365,,2
"Maragondana Halli, kr puram, old madras road",2,1196,,1
Hennur Road,2,1263,,1
Dhanalakshmi Layout,2,1015,,1
Lakshminarayana Pura,2,1200,,0
Sarjapur  Road,2,1250,,2
TC Palaya,2,1075,,1
Jp nagar 8th Phase .,2,980,,2
Thurahalli,2,1075,,1
Hulimavu,4,2282,,0
Volagerekallahalli,2,1206,,1
Rajaji Nagar,2,1310,,2
Nagarbhavi,2,1310,,3
Chandapura,2,1020,,2
Hoodi,2,1210,,3
Nagavara,3,1652,,2
Nobo Nagar,2,1161,,1
Sarjapur  Road,2,1161,,1
Hennur Road,2,1365,,1
Kengeri,2,1243,,2
Haralur Road,3,1332,,1
Hosa Road,1,615,,1
Iblur Village,3,1318,,1
Raja Rajeshwari Nagar,2,1133,,1
Kasavanhalli,2,1016,,2
Sanjeevini Nagar,2,972,,2
7th Phase JP Nagar,2,1161,,1
Electronic City,3,1532,,2
Hebbal,3,1680,,1
Rajaji Nagar,2,880,,0
7th Phase JP Nagar,3,1533,,1
JP Nagar,2,1040,,1
Gunjur,2,1040,,1
9th Phase JP Nagar,2,1245,,1
2nd Stage Nagarbhavi,3,1311,,1
Kengeri,1,800,,0
Sarjapur  Road,2,1364,,1
Kanakapura Road,2,1016,,1
Somasundara Palya,2,1360,,1
Dasanapura,2,1170,,2
Begur Road,2,1161,,1
Jigani,3,1470,,2
Electronic City,2,1161,,1
Govindpura,2,1016,,1
3rd Block Jayanagar,5,2000,,2
Hebbal,3,2378,,1
Begur Road,3,2376,,1
Kaggadasapura,4,3205,,1
Sonnenahalli,4,3024,,1
Cunningham Road,5,2400,,1.584375738
Gollarapalya Hosahalli,3,1817,,1.584375738
Hennur Road,2,1304,,3
Somasundara Palya,3,2480,,2
Hoodi,2,925,,1
Whitefield,3,2480,,1
Hebbal,3,1596,,3
Arekere,3,1200,,1
Murugeshpalya,4,3205,,2
Electronics City Phase 1,4,3033,,1
Hosa Road,3,2480,,1
Electronic City,2,925,,1
Hegde Nagar,3,2376,,1
Sarjapur  Road,2,1080,,3
Sector 2 HSR Layout,1,600,,0
Seegehalli,3,1250,,2
7th Phase JP Nagar,3,1225,,1
Hosakerehalli,3,1740,,3
JP Nagar,2,1170,,3
Chandra Layout,3,1069,,1.584375738
HRBR Layout,2,1095,,2
Sarjapur  Road,2,1065,,3
Hebbal,2,945,,1
Kanakpura Road,2,1003.5,,0
Kadubeesanahalli,2,1065,,3
Outer Ring Road East,2,1656,,1
Malleshwaram,2,1194,,0
Bommasandra,5,3300,,2
Balagere,3,1510,,1
Malleshpalya,3,1427,,1
Narayanapura,3,1508,,1
Green Glen Layout,1,460,,1
Hormavu,2,1179,,1
Electronic City,2,950,,1
J P Nagar 7th Phase Ramayya City,2,1194,,1
Gunjur,3,1766,,1
Jakkur,3,1689,,1
Uttarahalli,5,3600,,3
Kanakapura,2,1170,,1
Ambedkar Nagar,2,1250,,1
Garudachar Palya,3,1689,,2
Akshaya Nagar,4,2000,,1
Shanthala Nagar,2,1250,,2
Begur Road,3,1689,,2
Koramangala,2,1223,,1
Garudachar Palya,3,1919,,2
Battarahalli,3,1325,,1
Kadugodi,2,885,,3
Anandapura,2,1100,,1
Sompura,3,1320,,3
Green Domain Layout,3,1325,,3
Raja Rajeshwari Nagar,2,1125,,2
Neeladri Nagar,2,1242,,3
Vyalikaval,3,1823,,2
Hoodi,2,1300,,3
Kogilu,2,1080,,2
Vittasandra,2,1100,,2
Gottigere,1,688,,2
8th Phase JP Nagar,2,1255,,2
Cleveland Town,2,1058,,1
Bannerghatta,2,1375,,2
"Hoodi Circle, ",2,1248,,1
Mysore Road,3,1818,,1
Banashankari,2,1225,,2
Electronics City Phase 1,2,1255,,2
Old Airport Road,2,1175,,1.584375738
Electronic City,2,1255,,2
Rachenahalli,2,1255,,3
Thanisandra,2,1127,,1
Whitefield,2,1200,,1
Mallasandra,2,1200,,0
Kadugodi,3,1430,,2
Kanakpura Road,2,850,,1
7th Phase JP Nagar,2,1000,,1
Yelahanka,4,3560,,3
Syndicate Bank Colony,2,1011,,2
Kada Agrahara,2,1276,,2
KR Puram,2,1500,,0
Hebbal,2,1315,,0
Sarjapur  Road,2,1021,,1
JP Nagar,1,581,,1
Rajaji Nagar,2,935,,3
"Off Sarjapur road, ",2,1050,,2
Begur,3,1260,,1
Harlur,1,450,,1
M C Layout,2,1231,,1
Whitefield,3,1916,,1
Nanjappa Layout,2,1115,,2
Sarjapura - Attibele Road,4,4000,,2
Koramangala,3,1220,,1
Dodda Banaswadi,3,1310,,1
Sarjapur  Road,2,1140,,1
Channasandra,3,1400,,1
Rajaji Nagar,6,4400,,3
Ambedkar Nagar,2,1000,,1
Marathahalli,2,1000,,1
Kanakpura Road,3,1310,,3
Hosakerehalli,4,4200,,2
Whitefield,2,1050,,1
Koramangala,3,1602,,0
Electronic City Phase II,3,1533,,2
BEL Layout,2,1333,,2
Subramanyapura,3,1602,,1
Attibele,2,1450,,2
Akshayanagara East,3,1200,,1
JCR Layout,3,1548,,2
Sri Kanteshwara Nagar,3,1200,,1
Subramanyapura,3,1200,,1
KR Puram,3,1200,,1
Bellari Road,3,1500,,1
Yelahanka New Town,4,5667.5,,0
Indira Nagar,3,3235,,1
Uttarahalli,4,3596,,1
Harlur,3,1920,,2
Dasanapura,3,1995,,2
Varanasi,4,3596,,1
Akshaya Nagar,3,1918,,2
Abbaiah Reddy Layout,3,2100,,2
Ramagondanahalli,3,1920,,2
Electronic City,3,1920,,2
TC Palaya,3,1920,,2
9th Phase JP Nagar,3,2000,,2
Indira Nagar,4,3596,,1
Jyothi Nagar,4,3596,,1
Thigalarapalya,3,2666,,1
Tata Nagar,5,5384,,3
Whitefield,4,3596,,1
RK Layout 2nd Stage,5,5515,,2
Tirumanahalli,3,1920,,2
Magadi Road,4,3596,,2
Mylasandra,2,1180,,2
Kengeri,2,1135,,2
Motappa Layout,1,672,,1
Pattandur Agrahara,2,1200,,2
Mangammanapalya,2,1128,,2
Kaggalipura,3,2800,,1
Vasanthapura,3,1650,,2
BTM 1st Stage,2,1210,,1
Vijayanagar,2,1224,,2
Marathahalli,3,2070,,2
Raghuvanahalli,1,500,,0
Hennur Road,2,1400,,2
Thanisandra,4,2400,,2
 Devarabeesana Halli,2,1145,,2
Laggere,2,1470,,2
MCECHS  layout,3,2700,,1.584375738
Geddalahalli,1,850,,2
Whitefield,8,3250,,1
8th Phase JP Nagar,3,2601,,1.584375738
Bommasandra,2,1260,,2
Sarjapur  Road,3,1740,,2
Brindavan Nagar,3,1650,,3
Hosakerehalli,3,1440,,1
Cooke Town,2,1475,,2
HSR Layout,4,3200,,1.584375738
Yelahanka,4,4000,,1
Haralur Road,1,850,,2
Ambedkar Colony,4,2400,,2
Electronics City Phase 1,5,1800,,2
Munnekollal,3,1650,,2
Whitefield,4,2800,,3
Kadubeesanahalli,2,1260,,3
Banashankari,2,1149,,1
Seetharampalya,6,2400,,2
Konanakunte,5,4000,,1.584375738
Electronic City,2,1080,,2
Mariyannapalya,3,1600,,2
7th Phase JP Nagar,3,1800,,0
Kanaka Nagar,3,1475,,3
Kodichikkanahalli,3,1200,,0
Indira Nagar,2,1180,,2
Banashankari Stage III,2,1060,,2
Green Glen Layout,2,1160,,1
Raja Rajeshwari Nagar,3,1850,,3
Kaikondrahalli,2,1000,,1
Palace Road,2,1100,,2
Hoodi,2,940,,1
Sarjapur  Road,4,4624.5,,0
Yelahanka,2,1078,,2
Horamavu Banaswadi,1,1050,,1
Jalahalli,2,1352.5,,0
MCECHS  layout,2,1200,,2
Mysore Road,2,1300,,1
Marathahalli,3,1315,,1
Electronic City,3,1690,,2
CV Raman Nagar,1,750,,1
Kodigehalli,2,1200,,3
Hennur Road,3,1850,,1.584375738
Hennur,2,1100,,1
Electronic City Phase II,2,1197,,1
TC Palaya,7,2700,,1
7th Phase JP Nagar,2,820,,1
Hennur Road,3,1750,,1
Nelamangala,1,745,,0
Gubbalala,2,1150,,2
Nagarbhavi,3,1960,,1
Ananth Nagar,2,1250,,2
Basaveshwara Nagar,2,1125,,2
Binny Pete,3,2400,,3
Bharathi Nagar,2,1300,,1
Hebbal,2,1107,,1
Sector 7 HSR Layout,2,1250,,2
Thanisandra,3,1500,,1
Amruthahalli,2,1405,,1
Bhuvaneshwari Nagar,2,1157,,1
Harlur,2,1048,,1
Panathur,2,1150,,1
Whitefield,4,5000,,1.584375738
Pulikeshi Nagar,3,1470,,2
Kanakpura Road,2,990,,2
Hoodi,2,1205,,1
Domlur Layout,2,1000,,1
Balagere,2,950,,3
Gunjur Palya,2,1417,,3
B Narayanapura,3,1590,,2
Garudachar Palya,2,1279,,1
Sarjapur  Road,3,1710,,2
Babusapalaya,3,1396,,1
Yelahanka,3,1865,,1
Doddaballapur,2,1100,,1
Hosa Road,3,1760,,2
Kanakapura,2,1290,,1
Haralur Road,2,1452.19,,1
Anand Nagar,3,1798,,1
Kaggalipura,2,1300,,1
Kaval Byrasandra,4,3181,,0
Whitefield,3,1950,,2
Rayasandra,2,1230,,1
Thanisandra,2,1290,,1
Whitefield,3,1760,,2
Hosa Road,2,1483,,1
Banashankari,3,1650,,2
Kanakpura Road,3,2423,,3
Jalahalli,3,2197,,2
Gottigere,2,1125,,2
Babusapalaya,2,1230,,1
Bommasandra,2,1202,,1
Vijaya Bank Layout,3,1858,,1
Hosur Road,3,1798,,1
Narayanappa Layout,3,1785,,2
Whitefield,2,1080,,2
1Hanuman Nagar,2,1260,,0
Sarjapur,3,1816,,1
Raghuvanahalli,2,1424,,3
Hegde Nagar,2,1290,,1
Whitefield,2,1300,,2
AECS Layout,2,1290,,1
Iblur Village,2,1282,,1
Mysore Road,3,1660,,2
Marathahalli,2,1291,,1
Jigani,2,1473,,1
Wilson Garden,3,1660,,2
Anandapura,3,1950,,2
Subramanyapura,2,1432,,1
Nagarbhavi,3,1710,,2
Sarjapur,3,1765,,3
Dooravani Nagar,3,1717,,3
Kumbhena Agrahara,3,1800,,3
Kanakpura Road,3,1719,,2
NS Palya,2,1368,,3
Challaghatta,2,1340,,2
Electronic City Phase II,2,1200,,1
Uttarahalli,2,1200,,1
Bannerghatta Road,2,1200,,1
Nyanappana Halli,3,2250,,2
Yeshwanthpur,2,1694,,2
2nd Phase Judicial Layout,2,1400,,1
Bannerghatta Road,2,1045,,2
Kothannur,3,2113,,2
Ramagondanahalli,3,1932,,3
Dommasandra,2,1045,,1
Indira Nagar 3rd Stage,2,1020,,1
Ramamurthy Nagar,3,2384,,2
