location,bhk,total_sqft,bath,price
Garudachar Palya,3,1060,3,399
Sarjapur,2,1240,3,275
Byadarahalli,2,3500,3,240
Doddabommasandra,3,42000,3,320
Varthur,3,1070,3,395
Electronic City Phase II,2,1253,2,225
Whitefield,2,1190,2,165
Whitefield,3,1312,3,245
KR Puram,3,750,3,270
Koramangala,3,1615,3,85
Marathahalli,3,1095,3,85
Whitefield,2,1745,2,68
Rachenahalli,2,1050,2,75
4th T block Jayanagar,2,2080,2,80
Thanisandra,2,1220,2,80
Kempegowda Nagar,3,1793,3,100
Uttarahalli,3,1100,3,125
Yelahanka New Town,2,1385,2,93.32
Begur Road,4,1200,4,148
Haralur Road,4,2017,5,129
Attibele,2,400,2,93
Bellandur,4,1400,5,129
Bethel Nagar,2,960,2,80
Uttarahalli,4,1125,4,145
Akshaya Nagar,4,1551,5,175
BTM Layout,4,600,5,160
Vittasandra,2,1246,2,48.77
Whitefield,2,3200,2,47
Marathahalli,2,1060,2,52.04
Bharathi Nagar,3,1384,2,111
Byagadadhenahalli,1,620,1,30
Bommasandra,2,1005,2,46.8
Sarakki Nagar,2,1200,2,51.26
Kirloskar Layout,3,1400,4,157
HSR Layout,2,2400,2,47.4
Whitefield,3,1096,2,115
Kaggadasapura,2,1180,2,65
Uttarahalli,2,1300,2,45.5
tc.palya,2,1020,2,52.66
Margondanahalli,2,600,2,95
Dollar Scheme Colony,2,3563,2,50.5
Konanakunte Cross,2,1165,2,49.3
Bellandur,3,1685,3,159
Raja Rajeshwari Nagar,2,1580,2,95
Balagere,3,1210,3,142
Kammasandra,2,1030,2,46.1
Nagappa Reddy Layout,2,1100,2,50
Hebbal,3,1255,2,115
Jakkur,2,1482,2,43.6
Hebbal,2,1344,2,53
Kothannur,2,1275,2,45.82
Vidyaranyapura,3,462,3,150
Omarbagh Layout,3,3300,3,114
Panathur,2,1210,2,46
Hebbal,2,1320,2,46
Hosa Road,3,1532,2,112
JP Nagar,3,1245,2,115
Nagarbhavi,3,1212,3,56.1
Sarjapur  Road,4,1230,5,220
Indira Nagar,2,1000,2,75
Ramagondanahalli,2,2257,2,42.5
Vittasandra,3,1246,3,155
Gunjur,3,1080,3,100
Kannur,3,3Cents,3,131
Varthur,3,1360,4,290
Yelenahalli,2,1260,2,185
Kengeri Satellite Town,3,1200,3,460
Thigalarapalya,5,1418,5,720
anjananager magdi road,3,1200,4,315
Kasavanhalli,1,950,2,70
Nagarbhavi,4,1020,4,225
Electronic City Phase II,5,1400,5,150
Kodipalya,2,1440,2,37
Huskur,2,800,2,50
KR Puram,2,1310 - 1615,3,72
Electronics City Phase 1,1,1175,1,26
Raja Rajeshwari Nagar,2,1185,2,50.79
Aishwarya Crystal Layout,3,2250,2,66
Sarjapur  Road,3,1178,3,100
Ulsoor,2,36000,2,80
Whitefield,2,825,2,42
Madiwala,2,1250,2,68
Electronics City Phase 1,2,1113.12,2,45.5
2nd Block Jayanagar,2,1718,2,46.8
Gottigere,2,1010,2,51
Kanakpura Road,2,900,2,48
Syndicate Bank Colony,2,1500,2,65
Rayasandra,2,540,2,78
Electronic City,1,1020,1,43
Hosur Road,2,1194,2,57
Vijayanagar,2,1470,2,76
2nd Stage Nagarbhavi,2,600,2,33
Electronic City,2,1108,2,47
Hebbal,2,3895,2,62
Kanakpura Road,2,700,2,67
Somasundara Palya,2,1600,2,46
Nagarbhavi,2,1850,2,57.9
Tumkur Road,2,1250,2,45
Ramamurthy Nagar,2,600,2,44
Raja Rajeshwari Nagar,4,1140,4,130
CQAL Layout,2,1200,2,51.66
Nayandanahalli,3,985,3,125
Bellandur,2,982,2,50
9th Phase JP Nagar,2,600,2,40
Old Madras Road,2,2640,2,37.8
Akshaya Nagar,2,1314,2,39
Vijaya Bank Layout,2,1700,2,68
1st Phase JP Nagar,1,1077,1,35
Chandapura,2,1782 - 2000,2,35
Varanasi,3,2000,3,48.6
DUO Layout,2,1643,2,42.66
Kengeri,2,1200,2,58
Whitefield,3,1116,2,48.48
Abbigere,3,1020,2,70
Vittasandra,3,621,2,53.51
Daadys Gaarden Layout,2,1740,2,36.4
GM Palaya,2,1225,2,90
Thanisandra,3,1241,2,63
Hennur,2,1041,2,44.95
Bommanahalli,3,1050,3,75
Srinivas Colony,3,4400,2,48.5
Kanakpura Road,3,1309,3,67
Dodda Nekkundi,2,1128,2,57
Raja Rajeshwari Nagar,1,1430,1,26.9
Old Madras Road,2,1065,2,54
OMBR Layout,3,1085,3,75.17
Vishveshwarya Layout,3,750,3,60
Bellandur,3,981,2,55
Bhoganhalli,3,1548.3,3,70
Hebbal Kempapura,4,2302,3,76
Kalyan nagar,1,1410,1,21
Hosa Road,5,1525.84,5,145
Begur Road,3,1200,2,59
Sampangi Rama Nagar,3,1030,3,75
BTM 1st Stage,2,1852,2,65
Electronic City,3,1160,3,75
Jigani,3,918,3,77
Hebbal,2,1255,2,65
HRBR Layout,3,1200,2,110
JP Nagar,5,1150,5,980
Indira Nagar,3,2700,3,160
Moodalapalya,2,1150,2,85
Whitefield,2,1227,2,90
Hebbal,4,1255,5,400
Moodalapalya,3,840,4,240
Panathur,3,1198,3,135
 Devarachikkanahalli,3,1200,3,187
Frazer Town,2,188.89Sq. Yards,2,100
Nelamangala,3,2600,2,145
Thigalarapalya,3,2072,3,175
Pattandur Agrahara,4,797,4,242
Nayandanahalli,2,1350,2,67
Sahakara Nagar,2,2500,2,53.55
Thigalarapalya,3,2215,2,46.5
Kanakpura Road,1,525,1,42
Bannerghatta Road,3,2700,2,49.86
Gokaula Extension,2,1500,2,86
Subash Nagar,2,900,2,50
Poorna Pragna Layout,3,1355,2,88
Kudlu Gate,2,1465,2,86
Ramamurthy Nagar,3,1006,4,145
Vishveshwarya Layout,3,2000,3,68.63
Electronic City,3,1128,4,500
Pattanagere,2,850,2,43.48
ISRO Layout,2,1310,2,52
Banashankari,3,1390,3,660
Kathriguppe,4,1390,5,480
Marathahalli,4,2396,4,485
Electronic City,3,1170,3,650
Gottigere,3,1385,3,650
Old Madras Road,4,1160,4,700
Electronic City Phase II,5,1160,5,1500
Bannerghatta Road,3,1200,2,95
Mahadevpura,2,1475,2,56
Sarjapur  Road,2,1939,2,48
7th Phase JP Nagar,3,850,2,75
Balagere,3,675,3,115
Electronic City,2,1060,2,54
Whitefield,2,1235,2,69.85
RTO ullalu,2,600,2,56
Austin Town,2,1250,2,50
Banashankari,2,1460,2,55
Akshaya Nagar,3,1690,2,75
Indira Nagar,4,850,4,200
Kanakpura Road,3,1843,3,179
7th Phase JP Nagar,3,1680,3,125
Kundalahalli,2,1047,2,55
8th Phase JP Nagar,3,1100,3,149
Indira Nagar,2,3250,2,60
Nagarbhavi,2,1120,2,49
Raja Rajeshwari Nagar,3,1095,2,90
Carmelaram,2,970,2,55
Bommanahalli,3,1200,2,75
Hosa Road,2,1100,2,72
Uttarahalli,2,1685,2,60
Doddanekundi,2,1148,2,45
Marathahalli,2,1050,2,46
Bannerghatta Road,2,1465,2,96
Kothanur,2,3401,2,80
Electronic City,2,630,2,54
7th Phase JP Nagar,2,1850,2,72.3
Vidyaranyapura,2,1200,2,55
Cottonpet,3,1750,3,77
Shikaripalya,2,1350,2,38
Sector 7 HSR Layout,2,1760,2,35
Rajaji Nagar,2,1440,2,125
Banashankari Stage III,2,1200,2,80
Hennur Bande,2,1100,2,61
Kaggadasapura,2,1140,2,70
Hormavu,2,1469 - 1766,2,98
Gottigere,2,1410,2,72.2
Mahadevpura,3,1434,3,180
"ravindra nagar, T.dasarahalli peenya",5,1180,3,250
Begur Road,3,1160,2,180
EPIP Zone,2,1343,2,90
LB Shastri Nagar,2,1184,2,55
Koramangala,2,2246,2,59
Rajankunte,2,4510,2,70
Banashankari Stage III,3,1305,3,150
Sarjapur  Road,2,3785,2,80
1st Block BEL Layout,3,1540,4,235
Kanakpura Road,3,1550,3,180
Yelahanka,2,1345,2,38
Electronic City Phase II,3,975,2,45
HSR Layout,3,1140,4,253
JP Nagar,3,1152,3,260
Old Airport Road,3,3200,4,325
Kodathi,3,1033,4,270
Richards Town,3,1800,3,128
Marathahalli,3,1102,4,338
Subramanyapura,3,1223,3,148
Kadugodi,3,1762,3,75
Kengeri Satellite Town,2,560,2,43.49
KR Puram,2,2000,2,32
Electronic City,2,1410,2,60
Thanisandra,2,1853,2,47
Kothanur,1,1455,1,17.535
Hebbal,2,1138,2,35
Sarjapur  Road,2,2556,2,42
TC Palaya,2,1200,2,44
Anantapura,2,1200,2,32.5
Thanisandra,3,204Sq. Meter,2,68
Anekal,2,1200,2,25
Whitefield,4,1870,3,160
Panathur,2,1199,2,40
Prakruthi Township,3,800,3,78
Doddakallasandra,2,1360,2,30
Babusapalaya,2,1230,2,40
Hosahalli Extension,3,2000,3,140
Kasturi Nagar,3,1200,3,85
Kundalahalli,4,1047,3,185
Electronic City Phase II,2,6000,2,44.3
Ramamurthy Nagar,1,1200,1,19
Kengeri Satellite Town,4,1255 - 1350,4,139.5
Kengeri,2,725,2,25.38
Jakkur,4,1645,3,125
Sultan Palaya,2,870,2,36
Marathahalli,3,1026,2,53.35
Bennigana Halli,3,2000,3,88
Cooke Town,3,1710,2,56
Hosur Road,2,1766,2,30.35
Makali,2,500,2,32
JP Nagar,1,1100,1,19.87
Jigani,2,1221,2,42
Rachenahalli,2,680,2,43.1
Sarjapur  Road,2,1278,2,42
Kodichikkanahalli,2,1025,2,34
Whitefield,3,1175,3,76.13
Sarjapur  Road,2,870 - 1080,2,62
6th Phase JP Nagar,2,600,2,27.98
Seethappa Layout,2,850,2,29
Anjanapura,2,710,2,32
Huskur,2,1165,2,41.68
Sarjapur,2,625,2,33
Kaggadasapura,2,1340,2,41
Ananth Nagar,2,937,2,42.6
Lakkasandra,3,1500,3,50
JP Nagar,2,750,2,36
Judicial Layout,2,45Sq. Yards,2,35
Shampura,3,1475,3,100
Singapura Village,1,2230,1,17.09
Jnanabharathi Layout,2,2200,2,87
Mysore Road,4,900,3,140
Electronic City Phase II,3,1116,2,68
Hoodi,2,948,2,45
R.T. Nagar,3,970,3,57
Akshayanagara East,3,1519,3,140
Thanisandra,3,1200,3,98.29
Bhoganhalli,3,1760,3,125
Whitefield,2,4400,2,67
Sahakara Nagar,2,1914,2,74.03
Budigere,2,1820,2,70
Budigere,3,1820,3,100
Kalena Agrahara,3,1565,3,125
Begur Road,3,1334,3,113
Sarakki Nagar,2,924,2,95
Jigani,3,914,3,140
Kengeri,3,500,3,110
Yelahanka,3,2145,4,146
Yelahanka,2,1200,2,59
Electronic City,3,1650,3,110
Marathahalli,3,3940,2,75
Electronic City,2,1020,2,72
Basaveshwara Nagar,4,1180,4,310
Ulsoor,4,1255,4,300
Langford Gardens,2,2777.29,2,62
Bommasandra,3,1014,3,135
Shampura,3,920,3,119
Attibele,3,695,3,140
Prithvi Layout,3,2273,3,95
GM Palaya,3,1140,3,100
Giri Nagar,3,3000,4,110
Whitefield,2,1180,2,77.65
Begur Road,3,2400,3,112
Attibele,2,850,2,92
Banashankari,2,1200,2,78
"Bellandur, ",3,3160,2,75
Hoodi,2,1769,2,75
Jigani,3,133.3Sq. Yards,2,70
Bhoganhalli,3,1554.3,3,170
Haralur Road,3,1243,3,110
2nd Block Jayanagar,3,4920,3,70
Mallasandra,3,905,3,200
Kothanur,5,627,5,385
Domlur,1,2180,1,40
Frazer Town,2,2400,2,82
Marathahalli,1,1435,1,46.95
Jakkur,2,3405.1,2,76
Kodihalli,2,1620,2,78
Whitefield,3,1862,3,98
Kaikondrahalli,2,674,2,83
Marathahalli,3,1220,3,91
Haralur Road,2,1027,2,77
Electronic City,3,1025,3,120
Thanisandra,3,1430,4,180
Panathur,2,1235,2,78
Electronics City Phase 1,2,1291,2,93
Kanakpura Road,2,1498,2,60
Sarjapur  Road,3,2180,2,87
Electronic City,2,1000,2,71.32
Ejipura,1,922,1,29
Victoria Layout,2,850,2,94.5
New Thippasandra,3,750,3,99
AECS Layout,2,1123,2,62
Raja Rajeshwari Nagar,3,1235,3,88
Kogilu,3,1250,3,145
Whitefield,2,2403,2,60
Sarjapur  Road,3,984,3,95
Sarjapur  Road,2,1305,2,65
Attur Layout,4,1200,5,280
1st Block HRBR Layout,3,600,3,169
Hebbal,2,2790,2,90
Old Madras Road,2,2010,2,99
Electronics City Phase 1,3,995,3,122
Varthur Road,3,1277,3,93.5
7th Phase JP Nagar,2,1236,2,55
Akshaya Nagar,3,1265,2,98
Kanakpura Road,3,525,3,140
Gubbalala,1,2570,1,39.9
Hennur Road,3,2400,3,130
Shikaripalya,3,1442,2,116
Ardendale,3,1224,3,108
Bellandur,3,1205,3,85
Richmond Town,3,1233,2,82
5th Block Hbr Layout,2,1312,2,75
Electronic City,3,1449,3,183
Yelenahalli,3,1090,4,150
Kaggadasapura,2,2100,2,70
Uttarahalli,2,1390,2,70
JP Nagar,3,1200,3,110
Mallasandra,2,600,2,63.5
BTM 2nd Stage,2,1000,2,102
Devanahalli,4,2400,4,240
Thanisandra,3,1732,3,85
Banashankari,3,1290,3,135
Marasandra,3,1840,3,70
Thanisandra,2,1917,2,55
Bhuvaneshwari Nagar,2,1100,2,100
Kudlu,3,1455,4,145
Old Airport Road,3,2774,2,89
Haralur Road,3,1200,3,113
 Devarachikkanahalli,3,1425,4,160
Whitefield,3,1655,3,90
Haralur Road,2,2805,2,67
R.T. Nagar,3,600,3,125
AGS Layout,3,1040,3,125
Akshaya Nagar,3,1126,3,116
Kodichikkanahalli,3,1600,3,119
Hebbal,2,1250,2,68
Yelahanka,3,1800,2,74
Kalkere Channasandra,3,1200,3,118
Ashirvad Colony,3,2050,3,120
Whitefield,2,530,2,75
Sarjapur,3,2580 - 2591,3,125
Kambipura,3,883,3,98
Uttarahalli,3,1490,3,130
Ramagondanahalli,3,1295,2,98
Sompura,3,1275,3,100
Doddabanahalli,2,800,2,59
Devanahalli,3,1200,3,88
Bellandur,1,1063,1,52
Balagere,2,656,2,75
Shakthi Nagar,3,1125,4,185
Marathahalli,3,881,3,135
Nayandanahalli,3,1350,3,93.5
Bisuvanahalli,3,700,4,110
AGS Layout,3,1936,4,175
Hosa Road,3,1680,3,116
Rayasandra,3,1253,3,93.01
Rajaji Nagar,2,1640,2,56
Mysore Road,3,1082,2,65
Electronic City,3,1065,3,100
Iblur Village,2,2100,2,60.55
Electronic City,2,1070,2,85
Raja Rajeshwari Nagar,3,1280,2,72
6th block Koramangala,2,1200,2,62
Electronic City Phase II,4,1125,3,235
Sarjapur  Road,1,1755,1,31.1
Electronic City,3,1210,3,145
Talaghattapura,3,951,4,182
Electronic City,3,1500,3,145
Coffee Board Layout,4,1652.5,3,211
Yeshwanthpur,1,1381,1,27
Whitefield,2,1085,2,74.03
Whitefield,3,905,3,119
Hennur Road,2,1685,2,95
Somasundara Palya,3,1200,3,126
Anandapura,3,1151,2,68
Brookefield,4,3532,4,225
Kanakpura Road,3,1665,2,110
Kengeri Satellite Town,2,800,2,78
Chamrajpet,2,1050,2,69
Rajiv Nagar,3,1030,3,140
Hoodi,3,1257,2,75
Whitefield,4,1600,5,175
Choodasandra,2,1465,2,74
Jakkur,3,1650,3,178
Haralur Road,3,1243,3,130
Yelahanka New Town,1,680,1,35.8
Whitefield,3,1230,3,128
Koramangala,3,1300,4,187
KR Puram,2,1000,2,60.8
Mahadevpura,2,1146,2,70
Hennagara,2,1200,2,62
Indira Nagar,3,2601,2,69
Vishwanatha Nagenahalli,2,2159,2,60.8
Whitefield,3,1255,3,120
Hebbal Kempapura,2,1130,2,74.03
Padmanabhanagar,1,1200,1,26
Sarjapur  Road,3,1040,2,116
TC Palaya,2,1500,2,69.61
Byrathi Village,3,906,3,148
Uttarahalli,3,1180,3,98.38
Ullal Uppanagar,2,1200,2,88
Govindpura,2,850,2,86
KR Puram,3,1200,3,139
Sarjapur  Road,2,1374,2,55
Vidyaranyapura,3,4700,3,119
Whitefield,3,613 - 648,4,180
 south,2,2400,2,69.5
Haralur Road,3,1027,3,100
Ittamadu,2,1200,2,80
Jalahalli,3,2384,4,148
Electronic City,2,1033,2,74.03
Yelahanka,2,1200,2,58
Haralur Road,2,2017,2,75
Rainbow Drive,3,1500,3,275
Kamala Nagar,2,700,2,70
Shampura,4,1150,5,195
Kanakpura Road,3,1495,3,115
Kothanur,4,1302,4,173
Whitefield,3,905,3,97
Raja Rajeshwari Nagar,3,1303,3,139
Electronics City Phase 1,2,1350,2,76
Gottigere,2,1380,2,64
Harlur,3,1620,2,48
Chandapura,3,4800,2,45.95
Sarjapur  Road,2,1000,2,22.8
Ramamurthy Nagar,3,800,3,85
Thanisandra,2,1250,2,28.41
3rd Block Koramangala,3,1750,3,52
Anekal,3,997,3,90
Kothanur,2,1760,2,37
Yelahanka,2,1322,2,31.77
Kanaka Nagar,3,1365,2,49
Sahakara Nagar,2,1500,2,37
Kaggadasapura,2,1256,2,36
Brookefield,1,941,1,23.65
Devanahalli,3,5000,3,52
Kanakpura Road,1,1665,1,24
Hennur Road,3,1414,2,100
Chikkalasandra,3,1270,2,102
Madiwala,4,800,4,600
Kengeri Satellite Town,4,4100,4,360
Mathikere,4,1800,4,345
Pattanagere,3,850,3,155
Kanakpura Road,3,712,3,150
Rajaji Nagar,3,2563 - 2733,3,150
Basaveshwara Nagar Yelahanka,3,900,3,83
TC Palaya,3,900,3,86
Hebbal,2,1200,2,75
Kengeri Satellite Town,1,654,1,60
Peenya,2,708,2,65
Singapura Village,3,600,3,110
Wilson Garden,3,1680,3,80
Jakkasandra Extension,2,990,2,101
Uttarahalli,3,1380,3,90
Hebbal,2,1088,2,66
Harlur,4,1414,5,260
Seshadripuram,3,1240,3,580
Ganesha Block,4,1810,5,270
4th Block Jayanagar,4,2005,5,275
Kothanur,2,1185,2,98.86
Whitefield,3,1200,3,145
Electronic City,3,1070,3,300
Shikaripalya,2,1265,2,98.86
Sahakara Nagar,2,1100,2,115
Friends Colony,3,1035,3,160
Sonnenahalli,3,605 - 624,3,142
2nd Block Jayanagar,3,1000,2,195
Hegde Nagar,3,1179,3,185
Vittasandra,2,1650,2,98.77
Malur Hosur Road,2,2800,2,35.14
Lakshmipura Vidyaanyapura,2,3500,1,50
Nagaraja Garden,2,1430,2,37.5
Marathahalli,3,1130,2,62
JP Nagar,2,1850,2,72
Hennur,3,1340,4,82
Sarjapur  Road,3,4260 - 4408,3,235
Nagawara Junction,2,600,2,41
Banashankari,2,2582,2,27
Channasandra,3,1160,3,68
Hegganahalli,3,1200,3,120
Rajanna Layout,3,1116,4,235
Nagarbhavi  BDA Complex,2,600,2,45
Sarakki Nagar,3,2663,3,80
Devasthanagalu,2,1090,2,50
JP Nagar,3,1100,4,240
Kammasandra,3,1365,3,88
Vijayanagar,2,1484,2,53
Green Glen Layout,2,1630,2,55
Whitefield,3,1451,3,68
Kanakpura Road,3,1330,3,90
Thanisandra,3,2127,2,73
Adityanagar,2,875,2,164
Hallehalli,4,1260,4,150
Sarjapur  Road,2,1173,2,53
Electronics City Phase 1,2,1445,1,35
Jayamahal Extension,3,2250,3,70
Bannerghatta Road,3,1500,3,78
Thanisandra,3,1349 - 3324,3,75
JP Nagar,4,1197,4,350
2nd Stage Nagarbhavi,2,1200,2,100
Sarjapur  Road,2,3930,2,200
Kanakpura Road,2,1450,1,230
Whitefield,3,1187,3,180
Wilson Garden,3,4000,4,460
Channasandra,3,1050,3,87
Panathur,3,1370,2,165
Yelahanka,3,1036,2,170
JP Nagar,4,1275,4,240
Old Madras Road,2,2010,2,74
Thigalarapalya,2,1418,2,75
Thanisandra,3,1265,3,180
Anandapura,2,1576,2,115
Dodda Nekkundi,3,1148,3,108
Green View Layout,2,1000,2,48
Kudlu,4,1293,5,142
TC Palaya,1,1200,1,35
Munnekollal,5,1210,5,550
HSR Layout,2,1126,2,43.72
Sarakki Nagar,3,1840,3,56.24
Vidyaranyapura,3,1440,2,67
Ramamurthy Nagar,3,1300,3,59.75
Thanisandra,2,1276,2,39.98
Gidada Konnenahalli,1,600,2,45
Whitefield,3,1216,2,60
Marenahalli,2,840,2,55
Sector 1 HSR Layout,2,1240,3,130
Sompura,2,1126,2,110
Mysore Road,1,45,1,306
Raja Rajeshwari Nagar,2,1162,2,49.5
Whitefield,3,1301,2,90
Devanahalli,3,658,2,60
Sahakara Nagar,2,1350,2,59
Whitefield,3,2500,2,45
1st Phase JP Nagar,2,78.03Sq. Meter,2,38
Chandapura,4,1208.51,3,800
Raja Rajeshwari Nagar,2,1133,2,105
Shettigere,2,1760,2,90
Bisuvanahalli,3,1075,4,400
Sarjapur,2,940,2,27
Badavala Nagar,1,1145,1,52.3
Bannerghatta Road,2,1255 - 1350,2,20
Rahat Bagh,2,3900,2,25
Omarbagh Layout,2,3300 - 3335,1,50
Dasarahalli,3,1300,3,58
Malleshwaram,3,2475,2,60
6th Phase JP Nagar,3,2040,3,54
Hosakerehalli,2,1200,2,50
Jigani,3,2420,2,70
Thubarahalli,3,1216,2,75
Tumkur Road,2,1459,2,35
Jakkur,2,1622,2,45
Kanakpura Road,2,1843,2,45
Badavala Nagar,2,1274,2,55
Chikkasandra,2,600,2,52
Malleshpalya,2,1430,2,65
Kammanahalli,2,1800,2,40
Begur Road,2,1565,2,58
 Devarabeesana Halli,2,1670,2,60
Lakshminarayana Pura,3,1695,3,75
Akshayanagara West,2,1410,2,56
Kengeri Satellite Town,2,1060,2,67
Sarjapur  Road,3,1120,2,73
Hosa Road,2,880,2,45
Jalahalli,2,1083,2,60
Dodda Nekkundi,3,1435,3,85
Doddakallasandra,3,1425,3,115
Arekere,2,900,2,110
Escorts Colony,2,2400,2,67
Thanisandra,2,693,2,68
Kengeri,2,600,2,73
Electronic City,2,2435,2,60
Iblur Village,2,1920,2,48
Electronic City,2,630,2,70
Bisuvanahalli,3,1075,3,140
Hulimavu,2,1200,2,70
Nagavarapalya,4,705,3,140
Srinivasa Nagar,3,1200,3,95
Mahadevpura,2,1532,2,72
Rajiv Nagar,2,1330,2,33
3rd Block Hrbr Layout,2,1200,2,41
Sarjapur  Road,2,1530,2,39
Kasavanhalli,2,1105,2,32
1st Phase JP Nagar,3,1566,2,45
Harlur,3,1630,2,47
5th Phase JP Nagar,4,1256,3,85
Banashankari,2,1200,2,43.75
Brookefield,2,1595,2,43
7th Phase JP Nagar,2,1000,2,44
Poorna Pragna Layout,2,1475,2,50.53
"asha township, off hennur road",1,2400,1,30.715
Electronic City Phase II,3,1000,3,74.18
1A Block Koramangala,3,2360,3,80.48
Uttarahalli,3,1737,2,65
Electronic City Phase II,2,1000,2,58
Near International Airport,2,2100,2,56
Hosakerehalli,1,3600,1,30.24
Mysore Road,3,883,3,75
Haralur Road,2,1243,2,32
BTM Layout,4,1776,4,270
Anjanapura,2,1347,2,42.4
Whitefield,2,1330,2,49.5
Sector 1 HSR Layout,3,600,3,149
Rajaji Nagar,3,3730,3,943
Harlur,3,1459,2,78.34
Thanisandra,2,2259,2,55
JP Nagar,2,2700,2,45
Gubbalala,3,1008,2,75.6
NTI Layout,2,1200,2,55
Vasanth nagar,4,2328,4,130
BTM 1st Stage,3,600,2,156
Electronic City,3,660,2,100
Rajaji Nagar,2,1800,2,60
Rajaji Nagar,4,3100,4,630
Yelahanka,3,1180 - 1630,2,55
Yelahanka,3,602,3,53
Marathahalli,2,1710,2,55
JP Nagar,2,1500,2,50.17
Glass Factory Layout,2,1539,2,52
Fraser town,2,806,2,58
Judicial Layout,2,1100,2,55
Raja Rajeshwari Nagar,2,1151,2,58
Dasappa Layout,3,920,2,68
Kathriguppe,2,1350,2,73
Bannerghatta Road,2,1200,2,66.5
Thanisandra,3,1265,2,79
Chelekare,3,600,3,72
Sarjapur  Road,2,1700,2,48
Ramamurthy Nagar,2,1600,2,55
4th T block Jayanagar,2,1550,2,56
R.T. Nagar,3,1560,2,76
Horamavu Agara,2,1000,2,55
Haralur Road,3,1243,2,73
Raja Rajeshwari Nagar,3,1200,3,70
Sarjapur  Road,2,1403,2,49
Doddakallasandra,3,1010,2,75
Tumkur Road,2,1416,2,45
Kanakpura Road,2,1628,1,51
Chamrajpet,3,1660.4,3,110
7th Phase JP Nagar,3,1680,3,55
Doddathoguru,3,1595,2,56
Kanakpura Road,2,1507,2,45
Frazer Town,2,2560,2,45
Hennur Road,3,1949,3,80
BTM 2nd Stage,2,800,2,65
Electronic City Phase II,4,1000,5,325
Sonam Layout,2,905,2,49
Hosakerehalli,4,2480,5,80
CR Layout,3,1495,3,68
Kaikondrahalli,1,1605,1,24
Bommanahalli,3,1290,3,120
Yelahanka,3,1100,3,120
Vishveshwarya Layout,3,2100,3,70
Electronics City Phase 1,3,995,3,62
Banashankari Stage II,3,500,3,63
Rajaji Nagar,4,3526,4,240
Gottigere,3,1425,3,130
BTM 4th Stage,2,1455,2,75
Jalahalli West,3,550,3,98
Uttarahalli,2,1385,2,60
Vishveshwarya Layout,2,7000,2,60
Srinivasa Nagar,3,4000,2,100
Gollahalli,2,1060,2,65
AGS Layout,2,1080,2,70
HBR Layout,2,1783,2,55
Haralur Road,4,1520,3,302
Sarjapur  Road,2,1060,2,64
Raja Rajeshwari Nagar,2,1267,2,55
Whitefield,2,1155,2,66
Karuna Nagar,2,2500,2,55
Bannerghatta Road,2,1240,2,55
Gollahalli,2,1570,2,65
NGR Layout,2,1019,2,75
Whitefield,2,1355,2,70
Arekempanahalli,2,1537,2,65
Whitefield,2,4075,2,80
Raja Rajeshwari Nagar,2,1550,2,70
Raja Rajeshwari Nagar,1,1100,1,55
 Devarabeesana Halli,2,1750,2,55
9th Phase JP Nagar,2,1466,2,55
Rachenahalli,2,1550,2,64
Akshaya Nagar,2,2300,2,55
Kengeri,3,540,3,100
8th Phase JP Nagar,2,950,2,61
Chamundi Nagar,2,2800,2,77
Silk Board,3,1020,3,131
Cunningham Road,3,2880,3,120
Hebbal,3,1987,3,126
Hoodi,3,1305,3,121
Sarjapur,3,2100,3,126
Electronic City,3,1125,3,135
Horamavu Banaswadi,3,1225,3,135
Hennur,3,1255,3,120
MRCR Layout,3,1191,3,115
Uttarahalli,3,3600,3,135
Electronic City,3,1165,3,153
Kacharakanahalli,3,865,3,148
Nagarbhavi,3,1850,3,135
Marsur,3,497,3,159
Hennur Road,3,1232,3,147
Thanisandra,2,1732,2,50
Yelahanka,2,1614,2,49.49
Magadi Road,3,600,3,80
Thigalarapalya,3,2072,3,145
Electronic City,2,919,2,62
Shettihalli,3,2100,3,127
Shampura,2,672,2,42.48
J C Nagar,3,800,3,122
Marsur,3,1200,3,84
OLd Gurappanapalya,3,2849,3,159
Doctors Layout,3,1000,3,134
Whitefield,2,1216,2,60
Lingadheeranahalli,2,2245,1,55
Bannerghatta Road,3,1476,3,70
Ambedkar Nagar,3,1852,3,67
Udaya Nagar,4,1225,3,90
Panathur,4,1597,4,240
Jakkur,3,2423,2,75
Marathahalli,3,1152,3,59
Harlur,3,1762,2,54
Kammasandra,3,1400,2,54
Rachenahalli,1,1530,1,28
New Thippasandra,2,2400,1,54
Raja Rajeshwari Nagar,2,1185,2,54
Yelahanka,2,1890,2,80
Varthur Road,3,1247,3,145
1st Block Jayanagar,2,700,2,83
HRBR Layout,3,1000,3,135
Bellandur,2,1201,2,70
Gunjur Palya,3,830,2,79
Electronic City Phase II,3,1165,3,97.38
Bommanahalli,2,1100,2,85
9th Phase JP Nagar,3,1890,3,101
Maithri Layout,3,1685,3,123
Sarakki Nagar,3,3131,3,114
Battarahalli,6,1165,5,160
Kachanayakanahalli,3,827,3,95
Gangondanahalli,3,396,3,122
Uttarahalli,1,1200,1,34.3
Electronics City Phase 1,2,635,2,68
Whitefield,1,4000,1,50.3
Vishwanatha Nagenahalli,3,1050,3,112
D Group Employees Layout,3,600,3,115
Jakkur,1,1819.18,1,62.1
Kanakapura,1,1500,1,60.84
